,tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag,Unnamed: 0,ra_1_err_low,ra_1_err_up,ra_2,ra_2_err_low,ra_2_err_up,dec_1_err_low,dec_1_err_up,dec_2,dec_2_err_low,dec_2_err_up,low_ft_90,up_ft_90,dm_exc_1_ne2001,dm_exc_2_ne2001,dm_exc_1_ymw16,dm_exc_2_ymw16,R_cc
0,FRB20180725A,180725.J0613+67,-9999,93.42,0.039,-9999,67.07,0.21,-9999,147.29,21.29,30.0,18.0,-9999,-9999.0,-9999.0,-9999,19.2,716.6,0.0,2.7,0.0,5.0,33.2,715.8093,0.0041,644.2,635.4,0.00295,0.00110,0.00032,1.7,1.0,-9999,4.1,2.3,-9999,0.0,58324.7498032059,1.8e-09,58324.7495885601,2.2e-09,0.000296,7.6e-05,38.2,3.7,-45.8,4.2,760.1,485.3,607.4,371857.954,371481.0,0.403,1.0,,,,,,,,,,,,,,,,,,
1,FRB20180727A,180727.J1311+26,-9999,197.72,0.13,-9999,26.42,0.26,-9999,24.76,85.6,10.4,7.1,-9999,-9999.0,-9999.0,-9999,10.4,642.1,0.0,1.9,0.0,3.1,12.2,642.134,0.015,620.9,622.4,0.00295,<0.0017,-9999.0,0.58,0.31,-9999,2.31,0.76,-9999,0.0,58326.0362615845,3.7e-09,58326.0360690313,5.8e-09,0.00139,0.00017,3.8,1.8,-9.2,3.0,800.2,400.2,493.3,382969.318,381818.0,0.387,1.0,,,,,,,,,,,,,,,,,,
2,FRB20180729A,180729.J1316+55,-9999,199.4,0.12,-9999,55.58,0.084,-9999,115.26,61.16,21.0,11.0,-9999,-9999.0,-9999.0,-9999,32.0,108.4,0.0,4.6,0.0,8.6,206.6,109.59418,0.00031,78.8,86.8,0.00098,0.0001574,3.6e-06,11.7,6.8,-9999,17.0,10.0,-9999,0.0,58328.03356479831,3.2e-10,58328.0335319349,3.4e-10,<0.00010,-9999.0,16.46,0.24,-30.21,0.38,692.7,400.2,525.6,264732.041,186953.0,0.399,1.0,,,,,,,,,,,,,,,,,,
3,FRB20180729B,180729.J0558+56,-9999,89.93,0.27,-9999,56.5,0.24,-9999,156.9,15.68,21.0,12.0,-9999,-9999.0,-9999.0,-9999,12.4,318.6,0.0,0.9,0.0,1.7,22.0,317.2235,0.0045,223.2,198.8,0.00197,0.00066,0.00018,0.92,0.59,-9999,1.2,0.74,-9999,0.0,58328.7280323977,3.7e-09,58328.7279372735,4e-09,0.000314,8.3e-05,14.5,3.5,-14.6,3.5,800.2,441.8,657.5,425139.488,421337.0,0.323,1.0,,,,,,,,,,,,,,,,,,
4,FRB20180730A,180730.J0353+87,-9999,57.39,0.032,-9999,87.19,0.2,-9999,125.11,25.11,270.0,110.0,-9999,214.0,99.0,-9999,69.5,849.2,3.3,2.3,6.1,4.4,89.8,848.9041,0.0018,789.7,790.5,0.00492,0.002073,7.4e-05,5.2,2.8,-9999,27.0,12.0,-9999,0.0,58329.1511342663,1.2e-09,58329.15087971,1.3e-09,0.000468,4e-05,4.27,0.3,-11.31,0.48,759.2,400.2,483.5,429165.844,417689.0,0.329,1.0,,,,,,,,,,,,,,,,,,
5,FRB20180801A,180801.J2130+72,-9999,322.53,0.059,-9999,72.72,0.22,-9999,109.21,15.46,39.0,22.0,-9999,31.0,17.0,-9999,20.4,656.7,31.0,4.4,66.9,8.4,40.9,655.728,0.016,565.6,547.7,0.00983,0.00554,0.00037,1.11,0.65,-9999,7.9,4.8,-9999,0.0,58331.3662498721,3.6e-09,58331.3660532425,6e-09,0.00058,0.00021,60.0,4.8,-75.5,5.7,709.3,500.2,595.6,804325.253,800121.0,0.357,1.0,,,,,,,,,,,,,,,,,,
6,FRB20180806A,180806.J1515+75,-9999,228.56,0.071,-9999,75.62,0.39,-9999,112.27,38.4,48.0,26.0,-9999,39.0,20.0,-9999,13.9,739.2,2.5,0.4,4.6,0.8,14.4,739.9482,0.008,699.3,706.0,0.00295,<0.0016,-9999.0,1.9,1.8,-9999,7.6,6.6,-9999,0.0,58336.5925115761,3.3e-09,58336.5922896918,4.1e-09,0.00141,0.00012,0.1,1.2,-0.1,1.6,800.2,400.2,665.3,370874.518,369658.0,0.406,1.0,,,,,,,,,,,,,,,,,,
7,FRB20180810A,180810.J0646+34,-9999,101.47,0.13,-9999,34.86,0.24,-9999,180.67,14.06,15.0,8.3,-9999,-9999.0,-9999.0,-9999,13.1,415.7,0.0,1.5,0.0,2.7,16.5,414.8804,0.004,310.2,274.7,0.00197,0.000253,8e-05,1.1,0.86,-9999,1.7,1.0,-9999,0.0,58340.728472237,8.1e-08,58340.728347829,8.1e-08,0.000322,7.4e-05,1.1,1.5,-1.7,1.9,800.2,400.2,552.9,356074.278,356889.0,0.427,1.0,,,,,,,,,,,,,,,,,,
8,FRB20180810B,180810.J1159+83,-9999,180.41,0.016,-9999,83.14,0.16,-9999,124.71,33.82,58.0,30.0,-9999,38.0,28.0,-9999,38.6,169.8,2.7,1.1,4.7,1.8,55.1,169.1385,0.0017,123.3,129.6,0.00098,0.000201,1.3e-05,5.2,1.3,-9999,7.9,2.1,-9999,0.0,58340.9449537088,2.4e-09,58340.9449029901,2.5e-09,0.000311,2.6e-05,-0.76,0.4,-4.06,0.71,778.6,400.2,400.2,191482.92,183305.0,0.411,1.0,,,,,,,,,,,,,,,,,,
9,FRB20180812A,180812.J0112+80,-9999,19.33,0.27,-9999,80.78,0.28,-9999,124.02,17.96,50.0,28.0,-9999,45.0,27.0,-9999,12.5,795.8,6.2,2.1,12.2,4.1,20.5,802.451,0.035,722.1,708.4,0.00786,0.00281,0.00032,0.93,0.58,-9999,5.4,2.8,-9999,0.0,58342.4900925808,3.9e-09,58342.489851954,1.1e-08,<0.0013,-9999.0,-2.9,1.4,-8.3,3.6,586.4,400.2,400.2,563105.45,560873.0,0.399,1.0,,,,,,,,,,,,,,,,,,
